resolution_time,event_number,issue_length,participant_number,entropy,project_name,core_issue,normal_issue,core_assign,core_label,core_subscribe,before_average_time,slice_average_time
144.1,6.998076923,13.55865385,4.336538462,1.950947091,microsoft/vscode,1.528846154,0.506730769,1.694230769,4.034615385,0.282692308,162.1542799,102.0570238
107.6231249,8.377212203,17.83515928,5.521827069,2.020102251,microsoft/vscode,2.066913872,0.793359177,1.451542221,3.965616046,1.497724591,158.3644442,118.5895482
80.80478428,7.801366937,14.01794105,5.186245194,1.994484749,microsoft/vscode,2.093122597,2.102093123,0.992310978,1.676206749,0.892353695,158.3644442,118.5895482
65.38788871,8.669394435,16.60720131,5.62629569,1.849125465,microsoft/vscode,1.387343153,0.444080742,1.186033824,3.722858702,0.554282597,155.143637,100.0352913
74.86134969,7.030674847,9.295705521,4.625766871,1.586531989,microsoft/vscode,1.155828221,1.117791411,0.678527607,1.320245399,0.242944785,155.143637,100.0352913
134.6186317,7.915574964,13.30858806,5.062590975,1.730602963,microsoft/vscode,1.229985444,1.176128093,1.439592431,2.538573508,0.379912664,155.143637,100.0352913
74.56389215,6.80890973,10.7116061,4.437280188,1.84532907,microsoft/vscode,1.923798359,1.160609613,0.907385698,2.514654162,0.29073857,155.143637,100.0352913
169.5689655,6.726293103,13.86422414,4.997844828,1.894056739,microsoft/vscode,1.407327586,0.984913793,3.004310345,3.280172414,0.489224138,155.143637,100.0352913
55.7258427,6.842696629,10.86067416,4.773033708,1.750729306,microsoft/vscode,1.024719101,1.557303371,0.579775281,0.552808989,0.112359551,155.143637,100.0352913
104.7721519,9.992088608,26.1693038,9.501582278,1.517176768,microsoft/vscode,1.77056962,0.710443038,1.268987342,3.924050633,2.615506329,155.143637,100.0352913
133.496788,7.241970021,14.76659529,4.745182013,1.911261812,microsoft/vscode,1.817987152,1.141327623,0.884368308,4.815845824,0.389721627,155.143637,100.0352913
110.8519196,8.680073126,23.69652651,5.675502742,1.865989965,microsoft/vscode,4.76416819,0.606032907,2.197440585,3.568555759,5.494515539,155.143637,100.0352913
131.5288967,9.942206655,24.53590193,6.264448336,1.958206664,microsoft/vscode,3.138353765,4,1.38178634,3.602451839,2.831873905,155.143637,100.0352913
62.24711028,8.243049047,16.15682599,5.231490159,1.766441729,microsoft/vscode,1.233989378,0.356138707,1.452046236,4.014058107,0.472977195,152.2634429,97.36242208
95.11442006,9.710031348,23.53134796,6.181818182,1.964499809,microsoft/vscode,3.10031348,4.319749216,1.313479624,3.101880878,2.26645768,152.2634429,97.36242208
92.92778335,10.08625878,26.07522568,9.38114343,1.493270996,microsoft/vscode,1.796389168,0.704112337,1.383149448,3.761283852,4.481444333,152.2634429,97.36242208
84.68607955,7.578125,10.69602273,4.657670455,1.580821533,microsoft/vscode,1.025568182,1.241477273,0.840909091,2.208806818,0.389204545,152.2634429,97.36242208
53.43144424,6.870201097,10.01096892,4.645338208,1.781249969,microsoft/vscode,0.773308958,2.042047532,0.42047532,0.28702011,0.173674589,152.2634429,97.36242208
110.7511521,7.889400922,12.24577573,4.757296467,1.666848528,microsoft/vscode,0.88172043,1.087557604,1.425499232,2.078341014,0.316436252,152.2634429,97.36242208
142.0252294,8.80733945,24.65366972,5.435779817,1.80754321,microsoft/vscode,2.949541284,0.73853211,1.876146789,4.268348624,1.371559633,152.2634429,97.36242208
89.53139717,8.937990581,24.00156986,5.897959184,1.889523801,microsoft/vscode,4.31711146,0.69466248,2.426216641,3.647566719,5.616954474,152.2634429,97.36242208
109.872291,6.829721362,12.51780186,4.269349845,1.907933431,microsoft/vscode,1.431888545,0.716718266,1.712074303,3.81501548,0.277863777,152.2634429,97.36242208
65.11235955,6.741573034,10.76404494,4.494382022,1.823608967,microsoft/vscode,2.005617978,1.580898876,1.015730337,2.182022472,0.314606742,152.2634429,97.36242208
62.5353501,8.471447995,17.04724677,5.366077498,1.835659769,microsoft/vscode,1.309993202,0.515975527,1.484704283,3.860978926,0.738953093,147.9319389,76.21401009
58.67523124,7.245632066,10.08838643,4.607399794,1.692160445,microsoft/vscode,0.971223022,1.336073998,0.81294964,1.456320658,0.269270298,147.9319389,76.21401009
81.49563319,9.245633188,26.54748908,7.939956332,1.774384784,microsoft/vscode,3.472161572,0.78220524,2.194868996,3.63919214,7.234716157,147.9319389,76.21401009
72.9482683,6.842612889,13.05874616,4.444103463,1.971992773,microsoft/vscode,1.863656291,0.885138097,1.645769399,3.488382288,0.405523893,147.9319389,76.21401009
79.87218045,9.213032581,21.96616541,6.591478697,2.016143652,microsoft/vscode,2.468671679,4.793233083,0.992481203,2.804511278,1.877192982,147.9319389,76.21401009
89.66002345,7.815943728,12.29777257,4.841735053,1.711097632,microsoft/vscode,0.968347011,1.23094959,1.261430246,1.869871043,0.303634232,147.9319389,76.21401009
57.27457972,7.625063678,13.53183902,5.139582272,1.999421654,microsoft/vscode,1.493632196,2.602649007,0.715231788,1.406520632,0.754966887,143.8038683,61.57598978
63.79099732,8.241465863,17.99313922,5.497155288,1.979939213,microsoft/vscode,1.948627845,0.883032129,1.647423025,3.811914324,2.108433735,143.8038683,61.57598978
36.6541555,7.067024129,12.01340483,4.394101877,1.847543647,microsoft/vscode,0.991957105,1.99463807,0.506702413,0.815013405,0.310991957,140.3190232,62.17974556
30.61842105,6.219736842,10.74868421,3.826315789,1.835357567,microsoft/vscode,0.736842105,0.726315789,1.803947368,2.957894737,0.168421053,140.3190232,62.17974556
32.16824645,6.744075829,8.91943128,4.156398104,1.623691129,microsoft/vscode,0.701421801,1.431279621,0.55450237,0.843601896,0.218009479,140.3190232,62.17974556
32.5900277,6.804709141,10.76869806,4.168975069,1.793695553,microsoft/vscode,1.962603878,1.653739612,0.962603878,2,0.385041551,140.3190232,62.17974556
31.91674641,8.177990431,22.37799043,5.551196172,1.849260428,microsoft/vscode,4.040191388,0.800956938,2.302392344,3.279425837,5.762679426,140.3190232,62.17974556
